c_custkey c1
c_name c2
c_address c3
c_nationkey c4
c_phone c5
c_acctbal c6
c_mktsegment c7
c_comment c8
l_orderkey c9
l_partkey c10
l_suppkey c11
l_linenumber c12
l_quantity c13
l_extendedprice c14
l_discount c15
l_tax c16
l_returnflag c17
l_linestatus c18
l_shipdate c19
l_commitdate c20
l_receiptdate c21
l_shipinstruct c22
l_shipmode c23
l_comment c24
n_nationkey c25
n_name c26
n_regionkey c27
n_comment c28
o_orderkey c29
o_custkey c30
o_orderstatus c31
o_totalprice c32
o_orderdate c33
o_orderpriority c34
o_clerk c35
o_shippriority c36
o_comment c37
p_partkey c38
p_name c39
p_mfgr c40
p_brand c41
p_type c42
p_size c43
p_container c44
p_retailprice c45
p_comment c46
s_suppkey c47
s_name c48
s_address c49
s_nationkey c50
s_phone c51
s_acctbal c52
s_comment c53
ps_partkey c54
ps_suppkey c55
ps_availqty c56
ps_supplycost c57
ps_comment c58
r_regionkey c59
r_name c60
r_comment c61
